current_time,latitude,longitude,speed,miles,miles_lap,rtc,millis,rpm,input_voltage,motor_watt,motor_tempMosfet,motor_tempMotor,motor_current,battery_current,motor_dutyCycle,motor_error,rasp_temp,battery_ampere,battery_voltage,charge,battery_temperature,autonomy

15:12:24.704,43.737081,7.428155,0.0,0.0,0.0, ,20261, , , , , , , , ,nan,46,3.5,97.8,95.5,35,

15:12:25.237,43.737081,7.428155,0.1,0.0,0.0, ,20794, , , , , , , , ,nan,45,3.4,97.8,95.5,35,

15:12:26.830,43.737083,7.428155,0.0,0.0,0.0, ,22386, , , , , , , , ,nan,44,3.4,97.8,95.5,35,

15:12:27.148,43.737083,7.428155,0.0,0.0,0.0, ,22704, , , , , , , , ,nan,44,3.5,97.8,95.5,35,

15:12:27.785,43.737083,7.428155,0.0,0.0,0.0, ,23340, , , , , , , , ,nan,44,3.6,97.8,95.5,35,

15:12:28.424,43.737083,7.428155,0.0,0.0,0.0, ,23977, , , , , , , , ,nan,44,3.5,97.8,95.5,35,

15:12:28.743,43.737083,7.428155,0.0,0.0,0.0, ,24297, , , , , , , , ,nan,44,3.5,97.8,95.5,35,

15:12:29.383,43.737083,7.428155,0.0,0.0,0.0, ,24936, , , , , , , , ,nan,44,3.4,97.8,95.5,35,

15:12:29.702,43.737083,7.428155,0.0,0.0,0.0, ,25255, , , , , , , , ,nan,44,3.5,97.8,95.5,35,

15:12:30.235,43.737083,7.428155,0.0,0.0,0.0, ,25788, , , , , , , , ,nan,45,3.3,97.8,95.5,35,

15:12:30.875,43.737083,7.428155,0.0,0.0,0.0, ,26427, , , , , , , , ,nan,43,3.5,97.8,95.5,35,

15:12:31.195,43.737083,7.428155,0.0,0.0,0.0, ,26746, , , , , , , , ,nan,44,3.6,97.8,95.5,35,

15:12:31.834,43.737083,7.428155,0.0,0.0,0.0, ,27385, , , , , , , , ,nan,43,3.6,97.8,95.5,35,

15:12:32.471,43.737083,7.428155,0.0,0.0,0.0, ,28022, , , , , , , , ,nan,45,3.5,97.8,95.5,35,

