current_time,latitude,longitude,speed,miles,miles_lap,rtc,millis,rpm,input_voltage,motor_watt,motor_tempMosfet,motor_tempMotor,motor_current,battery_current,motor_dutyCycle,motor_error,rasp_temp,battery_ampere,battery_voltage,charge,battery_temperature,autonomy
10:17:22.207,43.737093,7.428206,0.1,0.0,0.0, ,5929, , , , , , , , ,nan,43,1.0,99.8,94.5,33,
10:17:22.668,43.737095,7.428206,0.1,0.0,0.0, ,6439,0.00,97.50,0.00,29.00,28.40,0.00,0.00,0.01,0.0,43,1.0,99.8,94.5,33,
10:17:23.173,43.737095,7.428206,0.1,0.0,0.0, ,6944,0.00,97.50,0.00,28.90,28.40,0.00,0.00,0.01,0.0,43,1.0,99.8,94.5,33,
10:17:23.678,43.737096,7.428206,0.1,0.0,0.0, ,7449,0.00,97.50,0.00,28.90,28.40,0.00,0.00,0.01,0.0,42,1.0,99.8,94.5,33,
10:17:24.379,43.737096,7.428206,0.2,0.0,0.0, ,8156,0.00,97.50,0.00,28.80,28.40,0.00,0.00,0.01,0.0,44,1.0,99.8,94.5,33,
10:17:24.893,43.737096,7.428206,0.1,0.0,0.0, ,8662,0.00,97.50,0.00,28.80,28.50,0.00,0.00,0.01,0.0,42,1.0,99.8,94.5,33,
10:17:25.196,43.737096,7.428206,0.2,0.0,0.0, ,8965,0.00,97.50,0.00,28.80,28.30,0.00,0.00,0.01,0.0,42,1.0,99.8,94.5,33,
10:17:25.702,43.737098,7.428206,0.2,0.0,0.0, ,9470,0.00,97.50,0.00,28.70,28.50,0.00,0.00,0.01,0.0,42,1.0,99.8,94.5,33,
10:17:26.207,43.737098,7.428208,0.2,0.0,0.0, ,9975,0.00,97.50,0.00,28.70,28.40,0.00,0.00,0.01,0.0,42,1.0,99.8,94.5,33,
10:17:26.808,43.737098,7.428208,0.1,0.0,0.0, ,10582,0.00,97.50,0.00,28.70,28.40,0.00,0.00,0.01,0.0,42,1.0,99.8,94.5,33,
10:17:27.315,43.737098,7.428208,0.0,0.0,0.0, ,11087,0.00,97.50,0.00,28.60,28.40,0.00,0.00,0.01,0.0,43,1.0,99.8,94.5,33,
10:17:27.820,43.737098,7.428208,0.1,0.0,0.0, ,11592,0.00,97.50,0.00,28.60,28.40,0.00,0.00,0.01,0.0,43,1.0,99.8,94.5,33,
10:17:28.348,43.737098,7.428208,0.1,0.0,0.0, ,12097,0.00,97.50,0.00,28.50,28.20,0.00,0.00,0.01,0.0,42,1.0,99.8,94.5,33,
10:17:28.933,43.737098,7.428208,0.1,0.0,0.0, ,12704,0.00,97.50,0.00,28.50,28.30,0.00,0.00,0.01,0.0,43,1.0,99.8,94.5,33,
10:17:29.445,43.737098,7.42821,0.2,0.0,0.0, ,13209,0.00,97.50,0.00,28.50,28.30,0.00,0.00,0.01,0.0,42,1.0,99.8,94.5,33,
10:17:29.749,43.737098,7.42821,0.2,0.0,0.0, ,13512,0.00,97.50,0.00,28.50,28.20,0.00,0.00,0.01,0.0,42,1.0,99.8,94.5,33,
10:17:30.356,43.737098,7.42821,0.1,0.0,0.0, ,14118,0.00,97.50,0.00,28.50,28.30,0.00,0.00,0.01,0.0,44,0.9,99.8,94.5,33,
10:17:30.862,43.737098,7.42821,0.1,0.0,0.0, ,14624,0.00,97.50,0.00,28.40,28.30,0.00,0.00,0.01,0.0,41,1.0,99.8,94.5,33,
10:17:31.469,43.737098,7.42821,0.1,0.0,0.0, ,15230,0.00,97.50,0.00,28.40,28.30,0.00,0.00,0.01,0.0,44,1.0,99.8,94.5,33,
10:17:31.974,43.737098,7.42821,0.1,0.0,0.0, ,15735,0.00,97.50,0.00,28.40,28.40,0.00,0.00,0.01,0.0,43,1.0,99.8,94.5,33,
10:17:32.480,43.737096,7.42821,0.1,0.0,0.0, ,16240,0.00,97.50,0.00,28.30,28.30,0.00,0.00,0.01,0.0,43,1.0,99.8,94.5,33,
10:17:32.986,43.737096,7.42821,0.1,0.0,0.0, ,16746,0.00,97.50,0.00,28.30,28.20,0.00,0.00,0.01,0.0,43,1.0,99.8,94.5,33,
10:17:33.492,43.737096,7.42821,0.1,0.0,0.0, ,17251,0.00,97.50,0.00,28.30,28.30,0.00,0.00,0.01,0.0,43,1.0,99.8,94.5,33,
10:17:33.997,43.737096,7.428208,0.1,0.0,0.0, ,17756,0.00,97.50,0.00,28.30,28.20,0.00,0.00,0.01,0.0,43,1.0,99.8,94.5,33,
10:17:34.503,43.737096,7.428208,0.1,0.0,0.0, ,18262,0.00,97.50,0.00,28.20,28.20,0.00,0.00,0.01,0.0,43,1.0,99.8,94.5,33,
10:17:35.010,43.737096,7.428208,0.1,0.0,0.0, ,18767,0.00,97.50,0.00,28.20,28.20,0.00,0.00,0.01,0.0,43,1.0,99.8,94.5,33,
11:35:25.847,43.737096,7.428208,0.1,0.0,0.0, ,19272,0.00,97.50,0.00,28.20,28.10,0.00,0.00,0.01,0.0,43,1.0,99.8,94.5,33,
11:35:26.450,43.737096,7.428208,0.0,0.0,0.0, ,19878,0.00,97.50,0.00,28.20,28.20,0.00,0.00,0.01,0.0,43,1.0,99.8,94.5,33,
11:35:26.753,43.737096,7.428208,0.1,0.0,0.0, ,20182,0.00,97.50,0.00,28.20,28.20,0.00,0.00,0.01,0.0,44,1.0,99.8,94.5,33,
11:35:27.259,43.737096,7.428208,0.1,0.0,0.0, ,20687,0.00,97.50,0.00,28.10,28.10,0.00,0.00,0.01,0.0,43,1.0,99.8,94.5,33,
11:35:27.765,43.737096,7.428208,0.2,0.0,0.0, ,21192,0.00,97.50,0.00,28.10,28.10,0.00,0.00,0.01,0.0,44,1.0,99.8,94.5,33,
11:35:28.465,43.737096,7.428208,0.0,0.0,0.0, ,21899,0.00,97.50,0.00,28.10,28.20,0.00,0.00,0.01,0.0,43,1.0,99.8,94.5,33,
11:35:28.972,43.737096,7.428208,0.0,0.0,0.0, ,22405,0.00,97.50,0.00,28.10,28.10,0.00,0.00,0.01,0.0,43,0.6,99.8,94.5,33,
11:35:29.426,43.737096,7.428208,0.0,0.0,0.0, ,22809,0.00,97.50,0.00,28.10,28.10,0.00,0.00,0.01,0.0,43,0.7,99.8,94.5,33,
11:35:29.983,43.737096,7.428208,0.0,0.0,0.0, ,23415,0.00,97.50,0.00,28.00,27.90,0.00,0.00,0.01,0.0,43,0.6,99.8,94.5,33,
11:35:30.489,43.737096,7.428208,0.0,0.0,0.0, ,23920,0.00,97.50,0.00,28.00,27.90,0.00,0.00,0.01,0.0,44,0.8,99.8,94.5,33,
11:35:31.002,43.737096,7.428208,0.0,0.0,0.0, ,24426,0.00,97.50,0.00,28.00,28.10,0.00,0.00,0.01,0.0,43,0.7,99.8,94.5,33,
11:35:31.311,43.737096,7.428208,0.0,0.0,0.0, ,24729,2.00,97.50,0.00,28.00,28.30,0.00,0.00,0.01,0.0,43,0.8,99.8,94.5,33,
11:35:31.925,43.737096,7.428208,0.0,0.0,0.0, ,25335,0.00,97.50,0.00,28.00,28.10,0.00,0.00,0.01,0.0,43,0.8,99.8,94.5,33,
11:35:32.519,43.737096,7.428208,0.0,0.0,0.0, ,25942,0.00,97.50,0.00,28.00,28.10,0.00,0.00,0.01,0.0,42,0.8,99.8,94.5,33,
11:35:33.026,43.737096,7.428208,0.0,0.0,0.0, ,26447,0.00,97.50,0.00,27.90,27.90,0.00,0.00,0.01,0.0,44,0.8,99.8,94.5,33,
11:35:33.329,43.737096,7.428208,0.0,0.0,0.0, ,26750,0.00,97.50,0.00,28.00,27.90,0.00,0.00,0.01,0.0,44,0.8,99.8,94.5,33,
11:35:33.928,43.737096,7.428208,0.0,0.0,0.0, ,27356,0.00,97.50,0.00,27.90,27.90,0.00,0.00,0.01,0.0,44,0.8,99.8,94.5,33,
11:35:34.442,43.737096,7.428208,0.0,0.0,0.0, ,27862,0.00,97.50,0.00,27.90,27.90,0.00,0.00,0.01,0.0,43,0.9,99.8,94.5,33,
11:35:34.948,43.737096,7.428208,0.0,0.0,0.0, ,28367,0.00,97.50,0.00,27.90,28.00,0.00,0.00,0.01,0.0,44,0.6,99.8,94.5,33,
11:35:35.555,43.737096,7.428208,0.0,0.0,0.0, ,28973,0.00,97.50,0.00,27.90,27.90,0.00,0.00,0.01,0.0,43,0.5,99.8,94.5,33,
11:35:36.061,43.737096,7.428208,0.0,0.0,0.0, ,29478,0.00,97.50,0.00,27.90,27.80,0.00,0.00,0.01,0.0,44,0.6,99.8,94.5,33,
11:35:36.567,43.737096,7.428208,0.0,0.0,0.0, ,29984,0.00,97.50,0.00,27.90,28.00,0.00,0.00,0.01,0.0,43,0.6,99.8,94.5,33,
11:35:37.183,43.737096,7.428208,0.0,0.0,0.0, ,30590,0.00,97.50,0.00,27.90,27.90,0.00,0.00,0.01,0.0,44,0.6,99.8,94.5,33,
11:35:37.680,43.737096,7.428208,0.0,0.0,0.0, ,31095,0.00,97.50,0.00,27.80,28.00,0.00,0.00,0.01,0.0,44,0.6,99.8,94.5,33,
